submission_date,state,new_case
10/29/2021,ID,1076
10/29/2021,VT,0
10/29/2021,AL,488
10/29/2021,WA,2596
10/29/2021,MD,871
10/29/2021,ME,5
10/29/2021,NC,2366
10/29/2021,IN,1916
10/29/2021,IL,2649
10/29/2021,NE,1613
10/29/2021,WI,2672
10/29/2021,NH,2076
10/29/2021,RI,234
10/29/2021,OR,1380
10/29/2021,MN,3317
10/29/2021,AZ,3691
10/29/2021,DC,132
10/29/2021,VA,1408
10/29/2021,NJ,1306
10/29/2021,TX,5268
10/29/2021,AS,0
10/29/2021,FL,1711
10/29/2021,CO,3295
10/29/2021,HI,143
10/29/2021,MA,1391
10/29/2021,MP,16
10/29/2021,WV,902
10/29/2021,OH,3485
10/29/2021,TN,1153
10/29/2021,RMI,0
10/29/2021,IA,2396
10/29/2021,PW,0
10/29/2021,OK,706
10/29/2021,NYC,2297
10/29/2021,UT,1810
10/29/2021,KS,1916
10/29/2021,AR,546
10/29/2021,GA,1223
10/29/2021,PR,120
10/29/2021,AK,797
10/29/2021,PA,4506
10/29/2021,NM,1054
10/29/2021,NY,4188
10/29/2021,SD,396
10/29/2021,MO,1121
10/29/2021,CA,7098
10/29/2021,VI,18
10/29/2021,CT,424
10/29/2021,GU,36
10/29/2021,MT,777
10/29/2021,MI,4710
10/29/2021,ND,520
10/29/2021,NV,0
10/29/2021,DE,282
10/29/2021,MS,309
10/29/2021,WY,523
10/29/2021,LA,241
10/29/2021,SC,0
10/29/2021,KY,1612
10/29/2021,FSM,0
10/28/2021,NC,2493
10/28/2021,WA,3339
10/28/2021,IN,2070
10/28/2021,IL,2601
10/28/2021,MI,5012
10/28/2021,MS,343
10/28/2021,MT,983
10/28/2021,VT,307
10/28/2021,NE,0
10/28/2021,MD,911
10/28/2021,VI,14
10/28/2021,CA,765
10/28/2021,ME,630
10/28/2021,ID,873
10/28/2021,NV,686
10/28/2021,ND,518
10/28/2021,MO,1092
10/28/2021,NH,0
10/28/2021,GU,111
10/28/2021,MN,2685
10/28/2021,OR,1112
10/28/2021,KY,1681
10/28/2021,PW,0
10/28/2021,CO,3823
10/28/2021,GA,1522
10/28/2021,NYC,0
10/28/2021,PR,158
10/28/2021,UT,1859
10/28/2021,KS,0
10/28/2021,FL,2020
10/28/2021,WV,951
10/28/2021,IA,0
10/28/2021,NY,3199
10/28/2021,PA,4312
10/28/2021,RMI,0
10/28/2021,OH,4190
10/28/2021,SD,312
10/28/2021,OK,1616
10/28/2021,HI,117
10/28/2021,TX,4146
10/28/2021,MA,1584
10/28/2021,AK,792
10/28/2021,MP,0
10/28/2021,AS,0
10/28/2021,AR,517
10/28/2021,NM,1300
10/28/2021,TN,1595
10/28/2021,WI,2565
10/28/2021,CT,443
10/28/2021,AL,376
10/28/2021,DE,312
10/28/2021,RI,264
10/28/2021,DC,118
10/28/2021,FSM,0
10/28/2021,NJ,1965
10/28/2021,SC,0
10/28/2021,VA,1646
10/28/2021,LA,491
10/28/2021,AZ,2795
10/28/2021,WY,491
10/27/2021,ME,572
10/27/2021,MI,5323
10/27/2021,WA,1576
10/27/2021,DE,262
10/27/2021,MS,344
10/27/2021,AL,2141
10/27/2021,VI,18
10/27/2021,MO,2467
10/27/2021,WI,2278
10/27/2021,IN,2046
10/27/2021,CT,337
10/27/2021,MN,1799
10/27/2021,NJ,1289
10/27/2021,LA,770
10/27/2021,VA,1495
10/27/2021,AZ,6299
10/27/2021,KY,1673
10/27/2021,GA,2011
10/27/2021,PW,0
10/27/2021,HI,175
10/27/2021,PR,131
10/27/2021,NYC,1145
10/27/2021,FL,2292
10/27/2021,AK,574
10/27/2021,UT,2068
10/27/2021,AS,0
10/27/2021,MA,1435
10/27/2021,TX,4498
10/27/2021,WV,1019
10/27/2021,OK,0
10/27/2021,OH,3839
10/27/2021,SD,453
10/27/2021,NM,957
10/27/2021,IA,327
10/27/2021,PA,4178
10/27/2021,CO,3385
10/27/2021,MP,0
10/27/2021,KS,2437
10/27/2021,AR,559
10/27/2021,NY,3500
10/27/2021,TN,1260
10/27/2021,RMI,0
10/27/2021,ND,666
10/27/2021,NE,866
10/27/2021,NC,2160
10/27/2021,NH,0
10/27/2021,GU,96
10/27/2021,IL,2013
10/27/2021,VT,140
10/27/2021,ID,1244
10/27/2021,MD,929
10/27/2021,NV,739
10/27/2021,MT,983
10/27/2021,CA,3668
10/27/2021,RI,261
10/27/2021,FSM,0
10/27/2021,WY,488
10/27/2021,SC,630
10/27/2021,OR,1321
10/27/2021,DC,71
10/26/2021,NE,598
10/26/2021,MD,731
10/26/2021,MI,4463
10/26/2021,MT,1123
10/26/2021,VI,9
10/26/2021,IL,2213
10/26/2021,WA,1609
10/26/2021,MO,0
10/26/2021,AL,7393
10/26/2021,ME,616
10/26/2021,CA,2219
10/26/2021,DC,40
10/26/2021,MN,6522
10/26/2021,OR,1507
10/26/2021,NJ,1473
10/26/2021,SC,564
10/26/2021,HI,69
10/26/2021,AS,0
10/26/2021,MP,0
10/26/2021,AR,502
10/26/2021,GA,1171
10/26/2021,NYC,750
10/26/2021,PR,91
10/26/2021,WV,714
10/26/2021,AK,742
10/26/2021,SD,718
10/26/2021,NM,686
10/26/2021,TN,960
10/26/2021,IA,2202
10/26/2021,OH,3807
10/26/2021,FL,1906
10/26/2021,PW,0
10/26/2021,MA,1468
10/26/2021,OK,2642
10/26/2021,CO,2452
10/26/2021,TX,6014
10/26/2021,KS,0
10/26/2021,UT,1614
10/26/2021,PA,3742
10/26/2021,NY,1641
10/26/2021,RMI,0
10/26/2021,WI,2917
10/26/2021,ND,643
10/26/2021,GU,121
10/26/2021,NV,724
10/26/2021,NH,0
10/26/2021,DE,107
10/26/2021,VT,85
10/26/2021,IN,1409
10/26/2021,MS,1670
10/26/2021,ID,1344
10/26/2021,NC,1340
10/26/2021,CT,254
10/26/2021,AZ,450
10/26/2021,VA,1631
10/26/2021,RI,185
10/26/2021,KY,180
10/26/2021,WY,341
10/26/2021,LA,460
10/26/2021,FSM,0
10/25/2021,NC,5745
10/25/2021,NV,1496
10/25/2021,MS,555
10/25/2021,NH,651
10/25/2021,NE,2239
10/25/2021,CT,899
10/25/2021,AL,943
10/25/2021,MT,1414
10/25/2021,DE,246
10/25/2021,ND,996
10/25/2021,VT,839
10/25/2021,NJ,943
10/25/2021,OR,2207
10/25/2021,WY,909
10/25/2021,AZ,158
10/25/2021,AR,161
10/25/2021,CO,6886
10/25/2021,WV,877
10/25/2021,GA,2767
10/25/2021,SD,295
10/25/2021,OH,2325
10/25/2021,IA,2054
10/25/2021,NM,2321
10/25/2021,NYC,931
10/25/2021,MP,0
10/25/2021,PW,0
10/25/2021,OK,0
10/25/2021,TX,1843
10/25/2021,KS,1477
10/25/2021,FL,2038
10/25/2021,AK,1656
10/25/2021,MA,3392
10/25/2021,HI,85
10/25/2021,AS,0
10/25/2021,UT,3636
10/25/2021,PR,19
10/25/2021,PA,2425
10/25/2021,TN,2739
10/25/2021,NY,2355
10/25/2021,RMI,0
10/25/2021,MD,1109
10/25/2021,MI,8572
10/25/2021,WI,4513
10/25/2021,WA,5804
10/25/2021,CA,2944
10/25/2021,ME,881
10/25/2021,GU,152
10/25/2021,IN,3516
10/25/2021,VI,11
10/25/2021,ID,1090
10/25/2021,MO,977
10/25/2021,IL,5140
10/25/2021,DC,291
10/25/2021,KY,985
10/25/2021,RI,463
10/25/2021,MN,2981
10/25/2021,SC,702
10/25/2021,VA,3495
10/25/2021,LA,878
10/25/2021,FSM,0
10/24/2021,CA,5211
10/24/2021,NC,0
10/24/2021,NH,0
10/24/2021,VT,0
10/24/2021,IL,0
10/24/2021,MT,0
10/24/2021,ND,189
10/24/2021,IN,0
10/24/2021,AL,113
10/24/2021,WA,0
10/24/2021,NJ,787
10/24/2021,OR,0
10/24/2021,LA,0
10/24/2021,AZ,1484
10/24/2021,UT,0
10/24/2021,CO,0
10/24/2021,AR,246
10/24/2021,FL,945
10/24/2021,NYC,2456
10/24/2021,OK,0
10/24/2021,MP,1
10/24/2021,AS,0
10/24/2021,HI,153
10/24/2021,NM,0
10/24/2021,PA,3414
10/24/2021,NY,2152
10/24/2021,SD,0
10/24/2021,AK,0
10/24/2021,GA,0
10/24/2021,MA,0
10/24/2021,KS,0
10/24/2021,TX,1516
10/24/2021,PW,0
10/24/2021,PR,56
10/24/2021,WV,642
10/24/2021,IA,0
10/24/2021,RMI,0
10/24/2021,TN,0
10/24/2021,OH,2540
10/24/2021,ID,242
10/24/2021,DE,296
10/24/2021,MI,0
10/24/2021,MO,1118
10/24/2021,MS,0
10/24/2021,ME,0
10/24/2021,NE,0
10/24/2021,NV,0
10/24/2021,WI,0
10/24/2021,CT,0
10/24/2021,MD,717
10/24/2021,GU,128
10/24/2021,VI,0
10/24/2021,MN,0
10/24/2021,RI,0
10/24/2021,KY,480
10/24/2021,FSM,0
10/24/2021,SC,837
10/24/2021,DC,0
10/24/2021,VA,0
10/24/2021,WY,0
10/23/2021,NV,0
10/23/2021,IL,0
10/23/2021,CT,0
10/23/2021,MT,0
10/23/2021,ID,725
10/23/2021,CA,5570
10/23/2021,MI,0
10/23/2021,GU,35
10/23/2021,IN,0
10/23/2021,ME,98
10/23/2021,MD,0
10/23/2021,MS,0
10/23/2021,NC,0
10/23/2021,NH,0
10/23/2021,LA,0
10/23/2021,SC,827
10/23/2021,VA,0
10/23/2021,FSM,0
10/23/2021,WY,0
10/23/2021,MN,0
10/23/2021,RI,0
10/23/2021,TX,3771
10/23/2021,WV,873
10/23/2021,HI,170
10/23/2021,CO,0
10/23/2021,AS,0
10/23/2021,PR,139
10/23/2021,MP,0
10/23/2021,SD,0
10/23/2021,TN,0
10/23/2021,GA,0
10/23/2021,KS,0
10/23/2021,MA,0
10/23/2021,AK,0
10/23/2021,FL,1362
10/23/2021,NYC,0
10/23/2021,UT,0
10/23/2021,OK,0
10/23/2021,PW,0
10/23/2021,AR,440
10/23/2021,PA,4573
10/23/2021,NM,0
10/23/2021,NY,3464
10/23/2021,RMI,0
10/23/2021,IA,0
10/23/2021,OH,3466
10/23/2021,NE,0
10/23/2021,WI,0
10/23/2021,VI,8
10/23/2021,ND,0
10/23/2021,AL,167
10/23/2021,DE,341
10/23/2021,VT,0
10/23/2021,WA,0
10/23/2021,MO,0
10/23/2021,OR,0
10/23/2021,KY,790
10/23/2021,AZ,3144
10/23/2021,NJ,1140
10/23/2021,DC,0
10/22/2021,WA,2479
10/22/2021,MO,1187
10/22/2021,MS,389
10/22/2021,VT,0
10/22/2021,IL,2969
10/22/2021,ND,471
10/22/2021,ID,1480
10/22/2021,CA,5744
10/22/2021,ME,488
10/22/2021,MI,4357
10/22/2021,VI,8
10/22/2021,MT,1078
10/22/2021,LA,681
10/22/2021,WY,512
10/22/2021,NJ,1706
10/22/2021,DC,114
10/22/2021,FSM,0
10/22/2021,OR,1465
10/22/2021,AZ,3074
10/22/2021,KS,947
10/22/2021,UT,1619
10/22/2021,PW,0
10/22/2021,WV,1004
10/22/2021,NYC,0
10/22/2021,AR,622
10/22/2021,CO,2846
10/22/2021,NY,2735
10/22/2021,PA,4496
10/22/2021,IA,1221
10/22/2021,GA,1536
10/22/2021,AK,834
10/22/2021,MP,0
10/22/2021,AS,0
10/22/2021,HI,118
10/22/2021,TX,5168
10/22/2021,PR,130
10/22/2021,MA,1454
10/22/2021,FL,2243
10/22/2021,OK,763
10/22/2021,SD,337
10/22/2021,NM,982
10/22/2021,OH,4078
10/22/2021,TN,1682
10/22/2021,RMI,0
10/22/2021,NV,822
10/22/2021,NC,2609
10/22/2021,NE,0
10/22/2021,IN,1884
10/22/2021,GU,36
10/22/2021,DE,394
10/22/2021,NH,535
10/22/2021,MD,910
10/22/2021,CT,453
10/22/2021,WI,2412
10/22/2021,AL,320
10/22/2021,SC,1069
10/22/2021,KY,1105
10/22/2021,MN,2134
10/22/2021,RI,194
10/22/2021,VA,1749
10/21/2021,ME,575
10/21/2021,ID,1328
10/21/2021,MS,422
10/21/2021,CT,410
10/21/2021,IN,2150
10/21/2021,DE,379
10/21/2021,MT,976
10/21/2021,VT,299
10/21/2021,MO,1142
10/21/2021,NE,474
10/21/2021,CA,6078
10/21/2021,MI,4821
10/21/2021,AL,446
10/21/2021,ND,567
10/21/2021,LA,923
10/21/2021,OR,1380
10/21/2021,AZ,2495
10/21/2021,WY,655
10/21/2021,KY,1254
10/21/2021,TX,4310
10/21/2021,PR,131
10/21/2021,AR,506
10/21/2021,OK,1049
10/21/2021,HI,142
10/21/2021,UT,2340
10/21/2021,CO,3397
10/21/2021,SD,417
10/21/2021,OH,4084
10/21/2021,RMI,0
10/21/2021,PA,4998
10/21/2021,WV,1100
10/21/2021,FL,2069
10/21/2021,MP,1
10/21/2021,GA,1487
10/21/2021,AS,1
10/21/2021,KS,946
10/21/2021,PW,0
10/21/2021,NYC,914
10/21/2021,MA,1381
10/21/2021,AK,1000
10/21/2021,NM,1132
10/21/2021,IA,1219
10/21/2021,NY,3178
10/21/2021,TN,1587
10/21/2021,NC,3003
10/21/2021,VI,19
10/21/2021,NH,640
10/21/2021,MD,863
10/21/2021,WI,2597
10/21/2021,IL,2146
10/21/2021,NV,719
10/21/2021,WA,3154
10/21/2021,GU,93
10/21/2021,FSM,0
10/21/2021,DC,74
10/21/2021,SC,891
10/21/2021,VA,1655
10/21/2021,MN,2351
10/21/2021,NJ,1468
10/21/2021,RI,232
